grant_name,funder,deadline,amount_gbp,status,draft_file,lead_applicant,notes
UKRI Future Leaders Fellowship Round 10,UKRI,2026-09-12,1200000,Drafting in progress,ukri_flf_r10_draft.txt,Dr. Alex Morgan,"Previous FLF holder — strong track record. Build on Morgan 2022 fellowship outcomes."
NIHR Research for Patient Benefit 2026,NIHR,2026-07-31,350000,Not started,,Dr. Alex Morgan + Prof. R. Singh,"Collaborative bid with Royal Bristol Hospital. Singh to lead clinical component."
Wellcome Trust Discovery Award,Wellcome Trust,2026-08-15,750000,Not started,,Dr. Alex Morgan,"Needs letter of intent by 1 July first. High prestige. Align to 'neural plasticity and recovery' strategic priority."
MRC Project Grant — Neurosciences,MRC,2026-10-01,280000,Drafting in progress,mrc_project_grant_draft.txt,Dr. Alex Morgan,"Pilot data from Kim et al. 2025 is the key preliminary work."
Horizon Europe ERC Starting Grant,European Research Council,2027-02-04,1500000,Early planning,,Dr. Alex Morgan,"Must apply through a European host institution partner. Contacting ETH Zurich."
BBSRC Responsive Mode,BBSRC,2026-09-30,180000,Not started,,Dr. Alex Morgan + Dr. W. Fischer,"Cross-disciplinary with bioengineering. Fischer to lead bioengineering component."
Royal Society Research Grant,Royal Society,2026-07-01,15000,Submitted,,Dr. Alex Morgan,"Submitted 10 May. Decision expected by end June."
Alzheimer's Research UK — Major Project,Alzheimer's Research UK,2026-12-15,400000,Not started,,Dr. Alex Morgan,"Stretch — requires pivot to dementia rehabilitation. Discuss with group."
BHF Project Grant — Stroke,British Heart Foundation,2026-08-31,220000,Not started,,Dr. Alex Morgan + Prof. R. Singh,"Aligns to Chen 2026 RCT. Strong fit with BHF stroke priority."
NIHR Advanced Fellowship,NIHR,2026-11-14,600000,Early planning,,Dr. Alex Morgan,"Career development grant. Very competitive. Requires departmental support letter."
Innovate UK Smart Grant,Innovate UK,2026-07-28,100000,Not started,,Dr. Alex Morgan + Industry Partner,"Requires industry partner. TechRehab Ltd expressed interest — follow up."
Gates Foundation Grand Challenges,Gates Foundation,2027-01-15,200000,Not started,,Dr. Alex Morgan,"Low-resource setting application. Could leverage federated learning angle from paper2."
