Metric,Q1 2026 Actual,Q2 2026 Actual,Q2 2026 Target,Variance,Notes
Total Revenue (£),2400000,2710000,2600000,+110000,Beat target by 4.2%
Recurring Revenue (MRR £),780000,854000,820000,+34000,SMB self-serve driving growth
Enterprise Revenue (£),1100000,1340000,1500000,-160000,Two deals slipped to Q3
Professional Services (£),520000,516000,280000,+236000,One-off implementation projects
Gross Margin (%),68,69.4,70,−0.6,Within acceptable range
Operating Expenses (£),1150000,1180000,1100000,+80000,Headcount costs above plan
EBITDA (£),-520000,-450000,-420000,-30000,Improving but below plan
New Customers,42,57,50,+7,Best quarter for new logos
Churn Rate (%),3.2,2.9,2.5,-0.4,Improving — churn initiatives working
Net Revenue Retention (%),104,107,110,-3,Expansion offset by churn
CAC (£),4200,3850,4000,+150,Efficiency improving
LTV (£),28000,31000,30000,+1000,Upsell programs contributing
Headcount,87,92,90,+2,Two additional eng hires approved
